League Points,Losses,Rank,SummonerName,Winrate,Wins
16 LP,453L,Master,bigfatlp,Win Ratio 50%,453W
75 LP,8L,Platinum 1,Dyrus,Win Ratio 53%,9W
65 LP,191L,Platinum 1,ReginaId,Win Ratio 53%,212W
100 LP,18L,Platinum 1,BillyBoss1,Win Ratio 61%,28W
48 LP,110L,Diamond 4,Radiance Hai,Win Ratio 48%,103W
75 LP,10L,Platinum 2,GIRL STREAMER,Win Ratio 38%,6W
76 LP,49L,Platinum 1,Xpecial,Win Ratio 47%,43W
35 LP,62L,Diamond 4,RushFrog,Win Ratio 40%,41W
1 LP,7L,Platinum 1,Wingsofdeathx,Win Ratio 63%,12W
503 LP,76L,Grandmaster,InnoX,Win Ratio 61%,120W
75 LP,39L,Platinum 1,Much Fuun,Win Ratio 50%,39W
148 LP,364L,Master,Fasca,Win Ratio 51%,375W
75 LP,10L,Platinum 1,Boyfriend,Win Ratio 62%,16W
100 LP,24L,Platinum 1,mengxiang,Win Ratio 48%,22W
166 LP,166L,Master,TranceTherapy1,Win Ratio 50%,164W
75 LP,298L,Platinum 1,DECAYED SHREK,Win Ratio 51%,311W
62 LP,4L,Platinum 3,RF Legendary,Win Ratio 60%,6W
55 LP,20L,Platinum 1,heal shield BOT,Win Ratio 51%,21W
94 LP,31L,Diamond 2,Falcon God,Win Ratio 43%,23W
75 LP,253L,Diamond 1,TTV Fiku,Win Ratio 49%,241W
67 LP,36L,Platinum 1,ni kan wo,Win Ratio 50%,36W
18 LP,84L,Diamond 1,Arcminute,Win Ratio 50%,84W
971 LP,369L,Challenger,Twtv Quaslol,Win Ratio 53%,412W
100 LP,153L,Platinum 1,Fiku,Win Ratio 50%,153W
100 LP,178L,Platinum 1,1Shady,Win Ratio 51%,188W
75 LP,93L,Platinum 1,IvanJYang,Win Ratio 53%,104W
49 LP,42L,Diamond 4,S8 IS SO FUN,Win Ratio 45%,35W
1 LP,9L,Diamond 4,Pobelter,Win Ratio 64%,16W
100 LP,16L,Platinum 1,WildTurtle,Win Ratio 54%,19W
914 LP,149L,Challenger,FZ3R0,Win Ratio 59%,212W
552 LP,257L,Grandmaster,FLY Diamond,Win Ratio 51%,272W
2 LP,19L,Diamond 4,alien ling,Win Ratio 49%,18W
75 LP,23L,Platinum 1,TL Santorin,Win Ratio 63%,39W
75 LP,70L,Platinum 1,seIfish Ianer,Win Ratio 57%,94W
75 LP,63L,Platinum 1,Apollo Price,Win Ratio 57%,82W
100 LP,2L,Platinum 1,Flula Borg,Win Ratio 83%,10W
75 LP,19L,Platinum 1,Pretty Raheem,Win Ratio 50%,19W
918 LP,162L,Challenger,Revenge,Win Ratio 55%,200W
0 LP,228L,Master,Voyboy,Win Ratio 48%,210W
100 LP,61L,Platinum 1,Shiphtur,Win Ratio 51%,63W
100 LP,8L,Platinum 1,Vooby,Win Ratio 58%,11W
811 LP,367L,Challenger,SentientAI,Win Ratio 52%,397W
856 LP,169L,Challenger,blaberfish2,Win Ratio 53%,194W
100 LP,68L,Platinum 1,goldenglue,Win Ratio 52%,73W
75 LP,72L,Platinum 1,Licorice,Win Ratio 57%,97W
533 LP,145L,Grandmaster,liveevil,Win Ratio 51%,153W
"1,069 LP",492L,Challenger,C9 Zven,Win Ratio 52%,534W
431 LP,133L,Grandmaster,ShorterACE,Win Ratio 55%,164W
91 LP,7L,Platinum 1,Selicy,Win Ratio 71%,17W
41 LP,244L,Diamond 1,Yassuo,Win Ratio 49%,238W
0 LP,86L,Diamond 1,huhi,Win Ratio 51%,89W
"1,058 LP",276L,Challenger,Ssumdayday,Win Ratio 53%,311W
936 LP,465L,Challenger,TSM FTX Cody Sun,Win Ratio 51%,493W
75 LP,6L,Platinum 1,Cody Sun,Win Ratio 57%,8W
52 LP,93L,Diamond 1,Meteos,Win Ratio 48%,86W
658 LP,428L,Grandmaster,I like Booba,Win Ratio 51%,441W
"1,008 LP",416L,Challenger,Dhokla,Win Ratio 52%,442W
83 LP,18L,Platinum 1,Short Dog,Win Ratio 33%,9W
"1,263 LP",264L,Challenger,HappyBeePlayer,Win Ratio 55%,326W
337 LP,155L,Master,Supersonics1,Win Ratio 51%,162W
70 LP,89L,Platinum 1,TSM FTX Hauntzer,Win Ratio 54%,104W
100 LP,27L,Platinum 1,KingsNeverDïe,Win Ratio 62%,44W
348 LP,330L,Grandmaster,Masterfiend,Win Ratio 50%,336W
75 LP,40L,Platinum 1,FáteFálls,Win Ratio 49%,39W
360 LP,511L,Grandmaster,Annie Bot,Win Ratio 50%,521W
35 LP,13L,Platinum 1,Irelia Carries U,Win Ratio 38%,8W
75 LP,14L,Platinum 1,iPav,Win Ratio 36%,8W
75 LP,97L,Platinum 1,Crack9,Win Ratio 51%,102W
100 LP,44L,Platinum 1,LL Stylish,Win Ratio 43%,33W
66 LP,80L,Diamond 4,Slave,Win Ratio 42%,59W
602 LP,150L,Grandmaster,aphromoo,Win Ratio 52%,165W
395 LP,352L,Grandmaster,dd23438274,Win Ratio 53%,403W
75 LP,175L,Platinum 1,Froggen,Win Ratio 53%,200W
75 LP,7L,Platinum 1,dd dog,Win Ratio 76%,22W
75 LP,28L,Platinum 1,dardoc,Win Ratio 40%,19W
"1,048 LP",126L,Challenger,Ablazeolive,Win Ratio 57%,168W
75 LP,50L,Platinum 1,Spica1,Win Ratio 53%,56W
75 LP,9L,Platinum 1,Red Robin,Win Ratio 63%,15W
3 LP,124L,Diamond 4,CE Fed,Win Ratio 43%,95W
93 LP,37L,Platinum 1,Vision of Empire,Win Ratio 60%,56W
44 LP,54L,Platinum 4,sad doomer,Win Ratio 54%,64W
36 LP,124L,Diamond 1,Dutch import,Win Ratio 50%,124W
55 LP,405L,Platinum 1,Montoon,Win Ratio 51%,414W
39 LP,26L,Platinum 2,Austy,Win Ratio 49%,25W
6 LP,98L,Diamond 2,tysy,Win Ratio 52%,108W
872 LP,85L,Challenger,Hakuho,Win Ratio 58%,116W
"1,026 LP",304L,Challenger,iloveyou1234,Win Ratio 53%,344W
65 LP,20L,Platinum 1,Dodo8,Win Ratio 44%,16W
100 LP,26L,Platinum 1,Xmithie,Win Ratio 38%,16W
75 LP,359L,Diamond 1,TF Blade,Win Ratio 53%,408W
"1,361 LP",298L,Challenger,EG Impact,Win Ratio 55%,358W
75 LP,10L,Platinum 1,Jænsen,Win Ratio 44%,8W
69 LP,70L,Diamond 2,C9 Darshan,Win Ratio 56%,89W
843 LP,173L,Challenger,IPlayYouListen,Win Ratio 55%,213W
100 LP,107L,Platinum 1,Stixxay,Win Ratio 57%,141W
100 LP,21L,Platinum 1,Cris,Win Ratio 46%,18W
786 LP,157L,Challenger,Pekin Woof,Win Ratio 54%,182W
707 LP,254L,Challenger,ControlMageEGirl,Win Ratio 54%,302W
"1,114 LP",177L,Challenger,Shiba lnu,Win Ratio 57%,234W
75 LP,47L,Platinum 1,Vincente,Win Ratio 46%,40W
60 LP,21L,Platinum 1,coach zig9,Win Ratio 43%,16W
41 LP,85L,Diamond 4,CLG Benji,Win Ratio 49%,82W
454 LP,222L,Grandmaster,Szochs,Win Ratio 53%,251W
75 LP,112L,Platinum 1,Xeno,Win Ratio 56%,145W
244 LP,371L,Master,Topo,Win Ratio 50%,366W
870 LP,195L,Challenger,WC Qwacker,Win Ratio 53%,219W
100 LP,160L,Platinum 1,Command Attack,Win Ratio 47%,143W
75 LP,223L,Diamond 1,The Bosh,Win Ratio 54%,257W
75 LP,112L,Diamond 1,Chen Qing Sui,Win Ratio 49%,108W
73 LP,32L,Master,onedyl,Win Ratio 66%,62W
822 LP,221L,Challenger,Doublelift,Win Ratio 52%,239W
75 LP,191L,Platinum 1,Smoothie,Win Ratio 52%,208W
"1,126 LP",156L,Challenger,Biofrost ,Win Ratio 56%,199W
75 LP,46L,Diamond 1,Peng Yiliang,Win Ratio 59%,66W
67 LP,6L,Platinum 1,TSM Bjergsen,Win Ratio 45%,5W
75 LP,9L,Platinum 1,Overgang,Win Ratio 36%,5W
24 LP,142L,Master,abigbroomstick,Win Ratio 54%,170W
803 LP,95L,Challenger,naidaaka,Win Ratio 58%,130W
52 LP,103L,Diamond 1,VirusFx,Win Ratio 55%,124W
90 LP,16L,Platinum 1,ET Nomad 07,Win Ratio 36%,9W
75 LP,135L,Platinum 1,EG deftly,Win Ratio 53%,152W
70 LP,239L,Platinum 1,AnDa,Win Ratio 53%,271W
70 LP,107L,Platinum 1,EG Matt,Win Ratio 46%,92W
452 LP,213L,Grandmaster,Houdini Brandini,Win Ratio 51%,223W
949 LP,196L,Challenger,Allorim,Win Ratio 54%,228W
82 LP,8L,Platinum 1,TwTV Jurassiq,Win Ratio 47%,7W
116 LP,313L,Master,Jurassiq,Win Ratio 49%,303W
879 LP,182L,Challenger,Winter,Win Ratio 54%,212W
25 LP,169L,Diamond 1,EvanRL,Win Ratio 51%,173W
75 LP,89L,Platinum 1,MistyStumpey,Win Ratio 54%,103W
75 LP,115L,Platinum 1,LowT Catboy,Win Ratio 50%,115W
100 LP,189L,Diamond 1,Shorthop,Win Ratio 52%,202W
68 LP,185L,Diamond 1,chimichangaa,Win Ratio 52%,197W
867 LP,216L,Challenger,Gorica,Win Ratio 55%,262W
70 LP,35L,Platinum 1,This Name Though,Win Ratio 51%,37W
75 LP,7L,Platinum 1,BlazedNova,Win Ratio 36%,4W
517 LP,335L,Grandmaster,Sybr,Win Ratio 50%,340W
58 LP,58L,Diamond 1,Loyal,Win Ratio 50%,57W
784 LP,367L,Challenger,Blitz,Win Ratio 52%,395W
718 LP,308L,Grandmaster,Matty,Win Ratio 53%,344W
0 LP,276L,Master,BRAND NEW SRT,Win Ratio 51%,292W
614 LP,140L,Grandmaster,TSM FrostForest,Win Ratio 54%,166W
75 LP,35L,Platinum 1,2moon2,Win Ratio 47%,31W
100 LP,238L,Diamond 1,Tuesdayy,Win Ratio 51%,247W
897 LP,529L,Challenger,rjsdndgod,Win Ratio 51%,560W
582 LP,396L,Grandmaster,TSM FTX Hyper,Win Ratio 51%,411W
75 LP,12L,Platinum 1,OddTurtle,Win Ratio 57%,16W
714 LP,205L,Grandmaster,Strompest,Win Ratio 54%,239W
45 LP,6L,Platinum 2,iconic9,Win Ratio 45%,5W
75 LP,26L,Platinum 1,057,Win Ratio 47%,23W
277 LP,318L,Master,Super Big Ego,Win Ratio 50%,324W
40 LP,91L,Diamond 1,FIick,Win Ratio 52%,100W
100 LP,11L,Platinum 1,Hook Resets,Win Ratio 59%,16W
42 LP,356L,Diamond 4,Fates Call,Win Ratio 50%,352W
75 LP,20L,Platinum 1,RIK1SHI,Win Ratio 53%,23W
49 LP,138L,Diamond 1,stuntopolis,Win Ratio 52%,147W
49 LP,22L,Diamond 1,stuntopia,Win Ratio 53%,25W
82 LP,154L,Diamond 1,5tunt,Win Ratio 55%,188W
0 LP,13L,Platinum 1,ThankfuI,Win Ratio 19%,3W
75 LP,69L,Platinum 1,Sad HoneyBee,Win Ratio 52%,76W
533 LP,156L,Grandmaster,Liiv Sandbox,Win Ratio 54%,184W
